***** Hello, NAFE13388! *****
logical channel: 00,
  0x1070,
  0x0084,
  0x2900,
  0x0000,
,
logical channel: 01,
  0x2070,
  0x0084,
  0x2900,
  0x0000,
,
values in micro-volts,
-989131.33,-734621.29
-935846.57,-549999.48
-666208.86,-334004.76
-245170.59,-99071.26
230356.45,140242.58
654123.43,372143.39
931302.91,584709.05
991215.71,762673.02
819402.93,895980
457958.58,975219.01
-7557.27,997520.69
-483391.88,959310.53
-846207.14,860542.65
-996143.82,707383.16
-907687.54,517508.98
-590141.42,285781.03
-136622.19,43002.37
340803.86,-198506.12
737038.85,-426761.51
969914.2,-637050.87
958983.9,-813549.16
705046.06,-932852.63
287993.55,-991829.63
-210367.44,-990473.63
-668070.32,-923440.46
-934818.98,-806288.72
-989733.34,-641272.07
-815456.51,-437489.75
-457050.2,-211171.51
8682.61,29119.85
473525.52,267811.42
836437.94,497270.23
994505.29,692879.56
913605.69,849506.86
597234.37,954551.1
135157.7,996941.33
-359790.92,975900.29
-765706.9,893170.24
-980706.21,751423.84
-942273.14,556548.83
-664462.45,331290.96
-231403.11,90556.14
269858.84,-161940.46
687929.99,-394667.39
952918.53,-612169.5
977947.71,-789998.77
763772.13,-916336.77
380152.46,-984788.54
-102434.16,-996167.66
-594775.68,-940619.71
-911321.04,-824325.68
-995123.39,-662081.84
-850649.48,-466020.11
-501469.97,-236027.84
-49204.23,98.35
415288.21,236439.7
806167.72,473964.81
988238.45,672684.31
927327.87,840042.83
633952.62,947851.54
182989.84,995721.22
-313792.82,980718.14
-718829.04,908343.79
-961951.61,778319.84
-975734.59,607343.32
-769239.66,401455.76
-389574.77,173101.43
79985.26,-65981.75
534633.99,-303415.06
864441.39,-521717.07
997358.56,-711475.01
900548.1,-858783.72
597822.07,-955866.58
159091.95,-997663.74
-324596.17,-981028.68
-736374.86,-903968.81
-968605.28,-770831.11
-960952.04,-584188.1
-699578.52,-355158.45
-267016.29,-110313.89
215501.19,132700.2
661974.55,376996.4
937388.54,591712
988041.16,770545.01
789359.21,906934.74
400953.89,981466.17
-78482.03,995775.46
-541979.67,949767.83
-877825.02,844135.88
-997486.71,680928.83
-876213.31,487269.76
-555341.24,265170.34
-108262.9,28634.07
360909.1,-208981.63
748530.03,-434533.95
969088.08,-635815.26
969199.54,-801904.8
744472.74,-922139.29
346855.52,-987651.94
-127297.64,-995146.63
-581529.14,-943363.31
-900172,-831762.55
-996630.19,-672142.51
-860840.08,-474828.48
-524368.29,-249121.19
-66800.71,-8702.87
406681.3,231865.05
784326.2,457940.1
980746.75,655624.87
953154.56,818410.52
708537.7,930858.85
300277.47,989688.04
-173107.39,991503.6
-606917.14,936800.24
-905092.36,827620.03
-996107.46,666668.42
-855618.12,468856.1
-520044.57,245137.81
-68862.44,8547.9
400496.13,-229998.83
776736.14,-454006.2
978884.1,-653109.55
957670.21,-814890.27
720311.4,-928868.65
314838.29,-990048.05
-158157.94,-993622.54
-601912.14,-939021.11
-903695.82,-829511.88
-996728.54,-672382.71
-861505.27,-475359.56
-531095.27,-252994.89
-77611.8,-14160.28
392390.49,224325.66
773983,450545.55
977852.34,649980.31
960140.82,811300.87
723280.31,926942.83
319640.64,988346.34
-154988.17,992447.73
-596102.48,939095.62
-898059.01,832145.81
-997277.5,677319.77
-869689.58,481344.46
-542119.74,257722.14
-92064.14,20403.27
379266.14,-218750.83
764610.77,-445446.97
975601.08,-647001.27
961081.39,-811340.21
726077.56,-927272.44
328398.94,-989115.24
-152747.04,-993972.42
-597570.54,-940071.94
-899721.98,-832113.03
-997191.07,-677306.06
-870801.81,-483596.32
-544671.42,-260760.19
-95207.69,-23165.94
379059.31,217271.45
764950.51,444139.24
974386.93,643439.29
963840.48,807367.56
735222.1,923739.08
338949.56,986955.17
-131909.25,993633.27
-575329.66,943450.93
-885826.35,839546.92
-997560.02,685293.08
-883430.24,493837.59
-564889.31,270723.1
-116144.42,32551.29
398305.06,-228840.11
782381.3,-457972.29
981358.89,-658150.32
947051.64,-825225.71
685473.68,-937664.51
275890.83,-992619.99
-203170.18,-991002.92
-638923.05,-930734.87
-920248.03,-817854.4
-992576.48,-650696.16
-809370.28,-432971.12
-437873.6,-200725.79
46790.24,48233.87
519759.06,293480.75
863866.81,519722.7
997654.8,712476.97
897622.7,859415.53
571489.93,958908.2
104004.74,997507.57
-387992.86,972604.75
-778292.42,888713.6
-979827.64,752927.06
-954518.91,573119.52
-698725.58,353009.1
-277907.85,114546.42
200253.13,-126233.7
639479.16,-364772.08
926238.3,-580622.55
988722.44,-770062.21
805227.16,-902346.37
418833.49,-981011.39
-61951.88,-997552.87
-513983.96,-955863
-869984.03,-849520.56
-997517.7,-693582.3
-870924.59,-483729.24
-544309.62,-260553.96
-95500.95,-23295.28
382848.38,219302.18
766028.17,444855.09
974729.66,644104.48
963888.17,807247.16
734037.16,923971.53
332980.75,987374.78
-147569.78,992865.56
-593333.24,939691.07
-896693.47,833002.92
-997297.17,677026.51
-869166.25,480857.49
-536649.23,254606.01
-78495.14,13362.17
397039.06,-228198.77
798190.83,-469425.32
986445.55,-669609.9
945774.32,-826389.79
682493.45,-938409.57
250305.53,-994087.46
-234559.77,-988792.78
-671916.6,-922505.86
-939761.4,-802102.09
-988994.24,-638936.16
-818837.88,-440122.49
-460332.04,-213056.21
27282.24,38384.2
504323.24,284817.22
848265.29,506746.77
995610.95,698729.75
904576.18,855091.81
577429.53,957854.99
88703.04,997758.51
-420712.23,968371.03
-813649.3,874761.34
-992275.48,724151.73
-913744.57,523596.41
-593980.55,287998.91
-155061.48,52313.8
380938.05,-219630
765222.91,-445899.96
982852.58,-661299.82
946466.92,-825712.68
678212.64,-939450.26
217985.51,-995616.91
-266287.33,-986392.5
-700477.36,-914758.44
-959923.86,-781567.69
-973579.88,-605329.87
-743459.46,-384603.14
-321927.07,-138919.95
215082.76,132485.03
664489.27,378587.25
947741.27,604295.13
979487.9,786325.34
751404.17,919025.54
363102.56,984886.29
-150796.18,992616.42
-636507.87,930125.12
-934218.76,805723.67
-986233.95,630379.92
-777936.58,407718.42
-370482.8,163002.61
135772.23,-93809.37
640385.15,-365352.03
936193.47,-591912.87
982472.3,-782485.6
786050.56,-909061.43
390599.37,-983869.43
-81201.2,-997011.07
-565189.12,-946742.89
-896236.3,-834338.67
-995651.48,-665360.69
-834520.46,-452696.68
-462683.44,-214363.93
18023.25,33726.69
510606.77,288360.12
867916.35,523032.55
998027.32,723780.99
867635.61,875067.11
486165.88,971683.86
19438.86,997864.01
-470257.4,961303.11
-825770.5,869623.42
-991007.69,728164.32
-904477.24,514239.07
-609247.09,297185.18
-175123.81,62378.05
306659.34,-180857.78
738200.55,-427671.07
980786.68,-657086.97
924447.18,-843167.9
582591.89,-958606.6
65250.99,-999233.72
-408557.65,-971539.02
-800471.31,-881401.3
-990056.4,-731788.28
-923044.68,-535319.45
-615221.26,-302302.24
-146636.96,-49154.76
